What,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,UTC Date
Wiki trends,File:ITVBe logo 2014-.svg,XHamster,Dexter Holland,Kuvempu,David Choe,Rose Marie,Special:CreateAccount,Star Wars: The Last Jedi,"Princess Margaret, Countess of Snowdon",List of Black Mirror episodes,Elizabeth II,Black Mirror,Tiger Zinda Hai,"Prince Philip, Duke of Edinburgh",Deaths in 2017,Bright (film),George Weah,Bitcoin,Star Wars,P. T. Barnum,Jumanji: Welcome to the Jungle,The Greatest Showman,Darth Vader,Ted Kaczynski,2018 PDC World Darts Championship,List of stand-up comedians,List of United States stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Tensor tympani muscle,"Charles, Prince of Wales",XXX (franchise),Meghan Markle,"Antony Armstrong-Jones, 1st Earl of Snowdon",Edward VIII,Special:ElectronPdf,George VI,Queen Victoria,Gone Girl (film),Special:Watchlist,Dick Van Dyke,Winston Churchill,HRT 2,Cardi B,Peaky Blinders (TV series),Blade Runner 2049,USS Callister,John Paul Getty III,J. Paul Getty,2017-12-29
Wiki trends,File:ITVBe logo 2014-.svg,XHamster,Primate cognition,List of Black Mirror episodes,Hot-hand fallacy,Black Mirror,Certificate of Primary Education,"Princess Margaret, Countess of Snowdon",Elizabeth II,Special:CreateAccount,Star Wars: The Last Jedi,Tiger Zinda Hai,"Prince Philip, Duke of Edinburgh",Deaths in 2017,Bright (film),P. T. Barnum,Jumanji: Welcome to the Jungle,List of stand-up comedians,List of United States stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,The Greatest Showman,Alex (parrot),Star Wars,Sue Grafton,Bitcoin,USS Callister,Ted Kaczynski,UFC 219,Darth Vader,"Charles, Prince of Wales",George VI,Edward VIII,Queen Victoria,"Antony Armstrong-Jones, 1st Earl of Snowdon",XXX (franchise),Hang the DJ (Black Mirror),Winston Churchill,Meghan Markle,United Kingdom,Special:ElectronPdf,2018 PDC World Darts Championship,Crocodile (Black Mirror),Special:Watchlist,Swatting,Cardi B,Arkangel (Black Mirror),Dunkirk (2017 film),John Paul Getty III,2017-12-30
Wiki trends,UFC 219,XHamster,Special:CreateAccount,List of Black Mirror episodes,Cris Cyborg,Black Mirror,File:ITVBe logo 2014-.svg,"Princess Margaret, Countess of Snowdon",Elizabeth II,Star Wars: The Last Jedi,Auld Lang Syne,Khabib Nurmagomedov,"Prince Philip, Duke of Edinburgh",List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Tiger Zinda Hai,Deaths in 2017,Gary Oldman,HRT 2,P. T. Barnum,Holly Holm,Bright (film),Jumanji: Welcome to the Jungle,The Greatest Showman,Queen Victoria,Darth Vader,New Year's Eve,Nile Rodgers,Star Wars,Ted Kaczynski,"Charles, Prince of Wales",Edward VIII,George VI,Winston Churchill,John Paul Getty III,Special:ElectronPdf,Bitcoin,List of Dragon Ball Super episodes,XXX (franchise),Adam Driver,Gianni Versace,"Antony Armstrong-Jones, 1st Earl of Snowdon",Hang the DJ (Black Mirror),Stephen Hawking,Special:Watchlist,Cardi B,José Feliciano,2017-12-31
Wiki trends,Special:CreateAccount,Britney Spears,Flow (psychology),XHamster,Jenny McCarthy,Mariah Carey,Auld Lang Syne,Maria Menounos,Keven Undergaro,BTS (band),Special:RecentChangesLinked/Markem-Imaje,File:ITVBe logo 2014-.svg,List of Black Mirror episodes,"Princess Margaret, Countess of Snowdon",Black Mirror,Elizabeth II,Star Wars: The Last Jedi,Scott Frost,"Prince Philip, Duke of Edinburgh",Andy Cohen (television personality),Baker Mayfield,Jon Gruden,Shawn Mendes,Rob Cross (darts player),Tiger Zinda Hai,Nile Rodgers,Speedy Gonzales,Dave Chappelle,Phil Taylor (darts player),List of United States stand-up comedians,List of stand-up comedians,Deaths in 2018,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,José Feliciano,Khalid (singer),Rose Bowl (stadium),Tonya Harding,"Homerton College, Cambridge",P. T. Barnum,Queen Victoria,Richard Cousins,Anderson Cooper,Rose Bowl Game,Ryan Seacrest,Imagine Dragons,HRT 2,Dick Clark,The Greatest Showman,2018-01-01
Wiki trends,Special:RecentChangesLinked/Markem-Imaje,Aokigahara,Special:CreateAccount,XHamster,Logan Paul,File:ITVBe logo 2014-.svg,Baker Mayfield,Black Mirror,List of Black Mirror episodes,Chris Zylka,Hoda Kotb,"Princess Margaret, Countess of Snowdon",Battle of Koregaon,Elizabeth II,Star Wars: The Last Jedi,Arie Luyendyk Jr.,Dabo Swinney,"Prince Philip, Duke of Edinburgh",2018 College Football Playoff National Championship,Tiger Zinda Hai,Nick Saban,Jake Paul,Deaths in 2018,Otilonium bromide,P. T. Barnum,The Greatest Showman,Dave Chappelle,Special:ElectronPdf,Jumanji: Welcome to the Jungle,Jake Fromm,Rose Bowl Game,Flow (psychology),Bitcoin,HRT 2,Ted Kaczynski,Paris Hilton,Tonya Harding,Darth Vader,Queen Victoria,Special:Watchlist,Royal Rumble (2018),Jon Gruden,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Star Wars,Bright (film),"Charles, Prince of Wales",2018-01-02
Wiki trends,Special:RecentChangesLinked/Markem-Imaje,Logan Paul,XHamster,File:ITVBe logo 2014-.svg,Aokigahara,Chris Zylka,Special:CreateAccount,Black Mirror,List of Black Mirror episodes,"Princess Margaret, Countess of Snowdon",Elizabeth II,Hoda Kotb,Battle of Koregaon,Star Wars: The Last Jedi,Royal Rumble (2018),Paris Hilton,"Prince Philip, Duke of Edinburgh",Deaths in 2018,Tiger Zinda Hai,Bitcoin,HRT 2,Jake Paul,The Greatest Showman,Jumanji: Welcome to the Jungle,Darth Vader,P. T. Barnum,Special:ElectronPdf,Special:Watchlist,Cardi B,Adolf Hitler,Ted Kaczynski,Isaiah Thomas (basketball),Bright (film),Tonya Harding,Dave Chappelle,Special:AllPages,Theodore Roosevelt,Thomas S. Monson,Queen Victoria,"Charles, Prince of Wales",Edward VIII,Star Wars,Barry Seal,George VI,"Antony Armstrong-Jones, 1st Earl of Snowdon",List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,2018-01-03
Wiki trends,Special:CreateAccount,Trash interceptor,XHamster,Special:RecentChangesLinked/EmEditor,Michael Wolff (journalist),Wrestle Kingdom 12,Logan Paul,List of Black Mirror episodes,Black Mirror,"Princess Margaret, Countess of Snowdon",Elizabeth II,File:ITVBe logo 2014-.svg,Cardi B,Short Springbok,Chris Tate,Aokigahara,Deaths in 2018,"Prince Philip, Duke of Edinburgh",HRT 2,Star Wars: The Last Jedi,Bitcoin,Chris Zylka,Tiger Zinda Hai,Special:ElectronPdf,Darth Vader,Special:Watchlist,Umberto Eco,The Greatest Showman,Tonya Harding,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Steve Bannon,Ted Kaczynski,Adolf Hitler,Jumanji: Welcome to the Jungle,P. T. Barnum,Bright (film),Mira Sorvino,Dave Chappelle,Queen Victoria,Special:Book,Caitlyn Jenner,"Charles, Prince of Wales",Edward VIII,George VI,"Antony Armstrong-Jones, 1st Earl of Snowdon",PeerTracker,2018-01-04
Wiki trends,Snake Eyes (G.I. Joe),Blackbird (violin),Michael Wolff (journalist),Special:CreateAccount,XHamster,Jon Gruden,List of Black Mirror episodes,Elizabeth II,Special:RecentChangesLinked/EmEditor,Black Mirror,"Princess Margaret, Countess of Snowdon",David Koresh,Logan Paul,Cardi B,File:ITVBe logo 2014-.svg,HTTP cookie,Waco siege,Deaths in 2018,"Prince Philip, Duke of Edinburgh",Epic Cycle,The End of the F***ing World,Special:ElectronPdf,Star Wars: The Last Jedi,HRT 2,Ross Barkley,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Bitcoin,Tonya Harding,JSON Web Token,Special:Watchlist,Darth Vader,Rebekah Mercer,Insidious: The Last Key,The Greatest Showman,Tiger Zinda Hai,Gerald Green,Fire and Fury,Adolf Hitler,Special:Book,Ted Kaczynski,Jumanji: Welcome to the Jungle,P. T. Barnum,Alex Trebek,Bigg Boss 11,Aokigahara,Special:RecentChangesLinked,2018-01-05
Wiki trends,XHamster,Special:CreateAccount,Genie (feral child),Snake Eyes (G.I. Joe),Philippe Coutinho,Jon Gruden,Robert Recorde,Michael Wolff (journalist),The End of the F***ing World,"Donald Trump presidential campaign, 2000","Princess Margaret, Countess of Snowdon",Elizabeth II,List of Black Mirror episodes,Black Mirror,Logan Paul,Jerry Van Dyke,File:ITVBe logo 2014-.svg,Tonya Harding,Dick Van Dyke,HRT 2,Special:ElectronPdf,"Prince Philip, Duke of Edinburgh",Barry Seal,Special:RecentChangesLinked,Epiphany (holiday),Star Wars: The Last Jedi,Deaths in 2018,Cardi B,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,P. T. Barnum,Insidious: The Last Key,The Greatest Showman,John Paul Getty III,Donald Trump,Bitcoin,Special:Book,J. Paul Getty,Darth Vader,Tiger Zinda Hai,Nancy Kerrigan,Ashley Wagner,Jennifer Hudson,Special:Watchlist,Winston Churchill,Jumanji: Welcome to the Jungle,List of Steven Universe episodes,2018-01-06
Wiki trends,Special:RecentChangesLinked,Special:CreateAccount,Genie (feral child),XHamster,Dick Van Dyke,Jerry Van Dyke,Sean McVay,Philippe Coutinho,The End of the F***ing World,Corey Haim,"Princess Margaret, Countess of Snowdon",Elizabeth II,Jon Gruden,File:ITVBe logo 2014-.svg,List of Black Mirror episodes,Black Mirror,"Prince Philip, Duke of Edinburgh",Corey Feldman,List of unreleased songs recorded by Michael Jackson,Michael Wolff (journalist),List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Barry Seal,P. T. Barnum,Star Wars: The Last Jedi,John Paul Getty III,Drew Brees,Deaths in 2018,Tonya Harding,Logan Paul,The Greatest Showman,Marcus Mariota,Special:ElectronPdf,France Gall,Alberto Fujimori,Winston Churchill,Cardi B,J. Paul Getty,Tiger Zinda Hai,Donald Trump,Bitcoin,Darth Vader,Jumanji: Welcome to the Jungle,Queen Victoria,Insidious: The Last Key,John Young (astronaut),List of Super Bowl champions,2018-01-07
